operator,technology,enb_id,sector_id,cell_id,pci,channel_number,longitude,latitude,height_m,azimuth_deg
C,LTE,18571,33,4754209,56,325,16.386905723762982,48.193859757517,34,235.0
C,LTE,17369,42,4446506,76,3500,16.377284767048675,48.198620219520066,36,220.0
C,LTE,17221,41,4408617,4,3500,16.37067316654297,48.192147080615726,33,155.0
C,LTE,18571,3,4754179,70,3050,16.386905723762982,48.193859757517,34,235.0
C,LTE,17367,11,4445963,183,1300,16.379494622652626,48.1881406303067,38,45.0
C,LTE,17367,41,4445993,319,3500,16.379494622652626,48.1881406303067,38,45.0
C,LTE,17367,31,4445983,80,325,16.379494622652626,48.1881406303067,38,45.0
C,LTE,17367,21,4445973,213,6400,16.379494622652626,48.1881406303067,38,45.0
C,LTE,17367,1,4445953,135,3050,16.379494622652626,48.1881406303067,38,45.0
C,LTE,17367,33,4445985,78,325,16.379494622652626,48.1881406303067,38,325.0
C,LTE,17367,32,4445984,79,325,16.379494622652626,48.1881406303067,38,165.0
C,LTE,17367,3,4445955,136,3050,16.379494622652626,48.1881406303067,38,325.0
C,LTE,17367,13,4445965,184,1300,16.379494622652626,48.1881406303067,38,325.0
C,LTE,17367,43,4445995,318,3500,16.379494622652626,48.1881406303067,38,325.0
C,LTE,17367,23,4445975,214,6400,16.379494622652626,48.1881406303067,38,325.0
C,LTE,17221,11,4408587,243,1300,16.37067316654297,48.192147080615726,33,155.0
C,LTE,17221,21,4408597,39,6400,16.37067316654297,48.192147080615726,33,155.0
C,LTE,17221,31,4408607,33,325,16.37067316654297,48.192147080615726,33,155.0
C,LTE,17221,1,4408577,117,3050,16.37067316654297,48.192147080615726,33,155.0
C,LTE,18571,13,4754189,133,1300,16.386905723762982,48.193859757517,34,235.0
C,LTE,17367,2,4445954,137,3050,16.379494622652626,48.1881406303067,38,165.0
C,LTE,17367,42,4445994,320,3500,16.379494622652626,48.1881406303067,38,165.0
C,LTE,17367,12,4445964,185,1300,16.379494622652626,48.1881406303067,38,165.0
C,LTE,17367,22,4445974,215,6400,16.379494622652626,48.1881406303067,38,165.0
C,LTE,18571,2,4754178,71,3050,16.386905723762982,48.193859757517,34,235.0
C,LTE,18571,32,4754208,55,325,16.386905723762982,48.193859757517,34,235.0
C,LTE,18571,42,4754218,133,3500,16.386905723762982,48.193859757517,34,235.0
C,LTE,18571,12,4754188,134,1300,16.386905723762982,48.193859757517,34,235.0
C,LTE,18571,11,4754187,132,1300,16.386905723762982,48.193859757517,34,0.0
C,LTE,18571,43,4754219,132,3500,16.386905723762982,48.193859757517,34,235.0
C,LTE,18571,31,4754207,54,325,16.386905723762982,48.193859757517,34,0.0
C,LTE,18571,1,4754177,69,3050,16.386905723762982,48.193859757517,34,0.0
C,LTE,18571,41,4754217,134,3500,16.386905723762982,48.193859757517,34,0.0
C,LTE,18588,3,4758531,478,3050,16.333258334876227,48.20501470999694,24,195.0
C,LTE,42696,21,10930197,338,6400,16.29476552486623,48.20398493961936,28,330.0
C,LTE,42696,1,10930177,48,3050,16.29476552486623,48.20398493961936,28,330.0
C,LTE,42696,23,10930199,337,6400,16.29476552486623,48.20398493961936,28,295.0
C,LTE,17991,23,4605719,181,6400,16.313333701830263,48.202224702767936,25,285.0
C,LTE,42696,11,10930187,296,1300,16.29476552486623,48.20398493961936,28,330.0
C,LTE,42696,41,10930217,133,3500,16.29476552486623,48.20398493961936,28,330.0
C,LTE,42696,13,10930189,294,1300,16.29476552486623,48.20398493961936,28,295.0
C,LTE,42696,3,10930179,50,3050,16.29476552486623,48.20398493961936,28,295.0
C,LTE,42696,43,10930219,134,3500,16.29476552486623,48.20398493961936,28,295.0
C,LTE,42696,42,10930218,132,3500,16.29476552486623,48.20398493961936,28,290.0
C,LTE,42696,22,10930198,336,6400,16.29476552486623,48.20398493961936,28,290.0
C,LTE,42696,12,10930188,295,1300,16.29476552486623,48.20398493961936,28,290.0
C,LTE,42696,2,10930178,49,3050,16.29476552486623,48.20398493961936,28,290.0
C,LTE,37884,13,9698317,340,1300,16.301323226454862,48.20481713938166,19,300.0
C,LTE,37884,12,9698316,341,1300,16.301323226454862,48.20481713938166,19,355.0
C,LTE,37884,11,9698315,339,1300,16.301323226454862,48.20481713938166,19,340.0
C,LTE,17991,13,4605709,283,1300,16.313333701830263,48.202224702767936,25,285.0
C,LTE,17991,3,4605699,473,3050,16.313333701830263,48.202224702767936,25,285.0
C,LTE,17991,43,4605739,450,3500,16.313333701830263,48.202224702767936,25,285.0
C,LTE,17991,41,4605737,451,3500,16.313333701830263,48.202224702767936,25,345.0
C,LTE,17991,1,4605697,471,3050,16.313333701830263,48.202224702767936,25,345.0
C,LTE,17706,43,4532779,245,3500,16.309237384125627,48.19788971195245,25,335.0
C,LTE,17706,23,4532759,320,6400,16.309237384125627,48.19788971195245,25,335.0
C,LTE,17706,3,4532739,217,3050,16.309237384125627,48.19788971195245,25,335.0
C,LTE,17991,11,4605707,282,1300,16.313333701830263,48.202224702767936,25,345.0
C,LTE,17991,21,4605717,182,6400,16.313333701830263,48.202224702767936,25,345.0
C,LTE,18662,13,4777485,16,1300,16.329162017171466,48.211258746288884,25,250.0
C,LTE,18752,43,4800555,171,3500,16.321840747589572,48.216532358348786,31,300.0
C,LTE,18752,23,4800535,238,6400,16.321840747589572,48.216532358348786,31,300.0
C,LTE,18752,13,4800525,248,1300,16.321840747589572,48.216532358348786,31,300.0
C,LTE,18752,3,4800515,346,3050,16.321840747589572,48.216532358348786,31,300.0
C,LTE,18283,11,4680459,501,1300,16.317528834216343,48.206331827987206,23,10.0
C,LTE,18283,21,4680469,112,6400,16.317528834216343,48.206331827987206,23,10.0
C,LTE,18283,1,4680449,69,3050,16.317528834216343,48.206331827987206,23,10.0
C,LTE,17225,23,4409623,397,6400,16.364358010081634,48.189506092503926,30,330.0
C,LTE,17225,3,4409603,217,3050,16.364358010081634,48.189506092503926,30,330.0
C,LTE,17191,2,4400898,98,3050,16.359201680339307,48.19402144084468,27,210.0
C,LTE,17191,21,4400917,399,6400,16.359201680339307,48.19402144084468,27,155.0
C,LTE,17191,12,4400908,197,1300,16.359201680339307,48.19402144084468,27,210.0
C,LTE,17191,22,4400918,400,6400,16.359201680339307,48.19402144084468,27,210.0
C,LTE,17961,12,4598028,380,1300,16.331632384208636,48.18330732052877,28,75.0
C,LTE,17191,23,4400919,401,6400,16.359201680339307,48.19402144084468,27,245.0
C,LTE,17191,11,4400907,195,1300,16.359201680339307,48.19402144084468,27,155.0
C,LTE,17191,42,4400938,447,3500,16.359201680339307,48.19402144084468,27,210.0
C,LTE,17191,41,4400937,448,3500,16.359201680339307,48.19402144084468,27,155.0
C,LTE,17191,1,4400897,96,3050,16.359201680339307,48.19402144084468,27,155.0
C,LTE,17225,43,4409643,137,3500,16.364358010081634,48.189506092503926,30,330.0
C,LTE,17225,13,4409613,19,1300,16.364358010081634,48.189506092503926,30,330.0
C,LTE,18642,11,4772363,16,1300,16.36132170441465,48.18394220506112,31,215.0
C,LTE,18642,1,4772353,183,3050,16.36132170441465,48.18394220506112,31,215.0
C,LTE,18642,41,4772393,188,3500,16.36132170441465,48.18394220506112,31,215.0
C,LTE,18642,42,4772394,186,3500,16.36132170441465,48.18394220506112,31,210.0
C,LTE,18642,3,4772355,184,3050,16.36132170441465,48.18394220506112,31,220.0
C,LTE,18642,43,4772395,187,3500,16.36132170441465,48.18394220506112,31,220.0
C,LTE,18642,13,4772365,15,1300,16.36132170441465,48.18394220506112,31,220.0
C,LTE,17191,3,4400899,97,3050,16.359201680339307,48.19402144084468,27,245.0
C,LTE,17191,43,4400939,449,3500,16.359201680339307,48.19402144084468,27,245.0
C,LTE,17191,13,4400909,196,1300,16.359201680339307,48.19402144084468,27,245.0
C,LTE,17961,2,4598018,230,3050,16.331632384208636,48.18330732052877,28,75.0
C,LTE,17515,32,4483872,101,325,16.33134492331685,48.2014403600625,29,160.0
C,LTE,17515,21,4483861,345,6400,16.33134492331685,48.2014403600625,29,360.0
C,LTE,17515,1,4483841,249,3050,16.33134492331685,48.2014403600625,29,360.0
C,LTE,17515,12,4483852,332,1300,16.33134492331685,48.2014403600625,29,160.0
C,LTE,18662,32,4777504,145,325,16.329162017171466,48.211258746288884,25,170.0
C,LTE,18662,22,4777494,110,6400,16.329162017171466,48.211258746288884,25,170.0
C,LTE,18588,1,4758529,477,3050,16.333258334876227,48.20501470999694,24,40.0
C,LTE,18662,12,4777484,17,1300,16.329162017171466,48.211258746288884,25,170.0
C,LTE,18662,2,4777474,401,3050,16.329162017171466,48.211258746288884,25,170.0
C,LTE,18662,42,4777514,431,3500,16.329162017171466,48.211258746288884,25,170.0
C,LTE,18662,43,4777515,429,3500,16.329162017171466,48.211258746288884,25,250.0
C,LTE,18662,3,4777475,400,3050,16.329162017171466,48.211258746288884,25,250.0
C,LTE,18662,33,4777505,146,325,16.329162017171466,48.211258746288884,25,250.0
C,LTE,76309,1,19535105,225,3050,16.272505272076334,48.19871602303405,22,285.0
C,LTE,76309,41,19535145,232,3500,16.272505272076334,48.19871602303405,22,285.0
C,LTE,76309,11,19535115,272,1300,16.272505272076334,48.19871602303405,22,285.0
C,LTE,76309,31,19535135,359,325,16.272505272076334,48.19871602303405,22,285.0
C,LTE,42696,31,10930207,494,325,16.29476552486623,48.20398493961936,28,330.0
C,LTE,42696,32,10930208,493,325,16.29476552486623,48.20398493961936,28,290.0
C,LTE,42696,33,10930209,492,325,16.29476552486623,48.20398493961936,28,295.0
C,LTE,18130,1,4641281,333,3050,16.288055109679128,48.190278640535794,53,350.0
C,LTE,18130,31,4641311,137,325,16.288055109679128,48.190278640535794,53,350.0
C,LTE,18130,11,4641291,99,1300,16.288055109679128,48.190278640535794,53,350.0
C,LTE,47852,1,12250113,396,3050,16.28097638522456,48.18823046447723,26,30.0
C,LTE,18130,41,4641321,83,3500,16.288055109679128,48.190278640535794,53,350.0
C,LTE,18130,43,4641323,81,3500,16.288055109679128,48.190278640535794,53,330.0
C,LTE,37884,32,9698336,463,325,16.301323226454862,48.20481713938166,19,355.0
C,LTE,47852,41,12250153,131,3500,16.28097638522456,48.18823046447723,26,30.0
C,LTE,47852,31,12250143,6,325,16.28097638522456,48.18823046447723,26,30.0
C,LTE,24096,41,6168617,153,3500,16.276305145736714,48.19180573608267,36,
C,LTE,24096,21,6168597,1,6400,16.276305145736714,48.19180573608267,36,
C,LTE,24082,21,6165013,248,6400,16.276305145736714,48.19180573608267,36,20.0
C,LTE,18130,13,4641293,100,1300,16.288055109679128,48.190278640535794,53,330.0
C,LTE,18130,3,4641283,334,3050,16.288055109679128,48.190278640535794,53,330.0
C,LTE,24096,22,6168598,0,6400,16.276305145736714,48.19180573608267,36,160.0
C,LTE,47852,42,12250154,130,3500,16.28097638522456,48.18823046447723,26,155.0
C,LTE,47852,12,12250124,450,1300,16.28097638522456,48.18823046447723,26,155.0
C,LTE,68469,12,17528076,356,1300,16.28096740207178,48.18192372416293,11,5.0
C,LTE,68469,22,17528086,473,6400,16.28096740207178,48.18192372416293,11,5.0
C,LTE,68469,32,17528096,336,325,16.28096740207178,48.18192372416293,11,5.0
C,LTE,68469,23,17528087,472,6400,16.28096740207178,48.18192372416293,11,345.0
C,LTE,68465,42,17527082,485,3500,16.275191234782014,48.18449323056015,15,45.0
C,LTE,68465,22,17527062,275,6400,16.275191234782014,48.18449323056015,15,45.0
C,LTE,68465,12,17527052,38,1300,16.275191234782014,48.18449323056015,15,45.0
